Dr. Abara is one of the best teachers on campus. He is very knowledgeable and he genuinely cares about his students. I highly recommend his class. Not taking his class would be a big mistake!!! Thank you  Dr.Abara for two semesters of excitement and fun!!! You are truly the best. Capish ?,good,cleaned,Predicted_Feedback,Predicted_Label
"I took her class last summer and she makes the class very easy if you actually try. The tests are exactly what she asks for in the study guide. She gave many extra credit opportunities. My final grade was 3 points away from a perfect score thanks to all of the extra credit. she requires weekly posts, no big deal. Would definitely take her again!",awesome,took class last summer make class easi actual tri test exactli ask studi guid gave mani extra credit opportun final grade point away perfect score thank extra credit requir weekli post big deal would definit take,1,Positive
Interesting class although more work than expected. Very clear from the very beginning of class about what's expected so double check syllabus before asking a question on the assignments. Always take notes very important for her midtem and final!!! Challenging class and you can definitely pass but no slacking off.,good,interest class although work expect clear begin class expect doubl check syllabu ask question assign alway take note import midtem final challeng class definit pass slack,1,Positive
"Dr. Sandoval is one of the best professors in the Chicanao Studies department. Not only it is a 100 class. She makes you work for a high grade in her class and assignments. Her lectures are very interesting, especially about her work in Low Rider culture and the Chicanao culture as well. Talk to her in her office hours, your grade will thank you!",good,dr sandov one best professor chicanao studi depart class make work high grade class assign lectur interest especi work low rider cultur chicanao cultur well talk offic hour grade thank,1,Positive
"Her attitude most class sessions was very unappealing and made me hate being in the class although I found her lectures interesting. I would recommend looking at other professors, although she does know her stuff, taking her class wasn't the greatest experience.",poor,attitud class session unapp made hate class although found lectur interest would recommend look professor although know stuff take class greatest experi,1,Positive
"Very hard class. Essays due every week, 6 page mid-term, presentation, and an in class essay. Also she is very picky about grading marks you off for almost anything. She is also not very approachable and treats you like a little kid. You really have to work for a good grade in this class and that may not even be enough.",poor,hard class essay due everi week page mid term present class essay also picki grade mark almost anyth also approach treat like littl kid realli work good grade class may even enough,1,Positive
"I loved her! Her passionate towards teaching the subject empowers me to work hard. She is very helpful, friendly and very funny. She makes lecture interesting and I would definitely recommend anyone to take her.",good,love passion toward teach subject empow work hard help friendli funni make lectur interest would definit recommend anyon take,1,Positive
"Denise is a very dedicated professor. Her class is one of the most demanding classes I've had at CSUN but coming from a UC, this work level and quality of work is EXPECTED. Consider her 'hard' assignments and 'sassyness' as her way of pushing students to become better students. This class was not impossible nor hard. She is also a fair grader.",awesome,denis dedic professor class one demand class csun come uc work level qualiti work expect consid hard assign sassy way push student becom better student class imposs hard also fair grader,1,Positive
"I went into this class ignorant about my culture and I'm now filled with so much knowledge. I am proud to call myself a chicana. However, professor Sandoval is tough. She's sassy, she's mean, she doesn't answer your questions. Rather, she responds with another question 'you should already know.' Journals every week, and you can't BS.",good,went class ignor cultur fill much knowledg proud call chicana howev professor sandov tough sassi mean answer question rather respond anoth question alreadi know journal everi week bs,1,Positive
"TERRIBLE CLASS. Do not take this class even if graduation depends on it. I swear to you that you will hate life when taking this class. She isn't teaching Chicano studies, she is teaching feminism in class. Tons of work to do and very annoying In class with her style of teaching. Would never recommend taking this class.",awful,terribl class take class even graduat depend swear hate life take class teach chicano studi teach femin class ton work annoy class style teach would never recommend take class,0,Negative
"Very hard class, requires lots of work. Though its an online class she makes you go to 2 places and write a 10pg paper, its ridiculous.",poor,hard class requir lot work though onlin class make go place write pg paper ridicul,1,Positive
this class requires a lot of reading and writing for a 100 level class. More work than my upper division classes (400)in my major.,average,class requir lot read write level class work upper divis class major,1,Positive
Took this class as filler to maintain full time status and this class contained more work than my previous 10 upper division classes in my major.I worked for A and u will have to work for it. This is not a laid back class but i learned a lot about my own cultural history.,poor,took class filler maintain full time statu class contain work previou upper divis class major work u work laid back class learn lot cultur histori,1,Positive
"Just found out what my final is. 7 handwritten pages with one flashcard of notes allowed. Terrible class, made me hate school.",good,found final handwritten page one flashcard note allow terribl class made hate school,0,Negative
By far the MOST WORK I've ever had to do for one class. 15k+ words written for the semester. A discussion every week plus essays and semester length research project. She provides NO feedback for written work either. DO NOT CHOOSE THIS TEACHER,poor,far work ever one class k word written semest discuss everi week plu essay semest length research project provid feedback written work either choos teacher,1,Positive
HARDEST GRADER THERE IS!  Gives SO much homework! One essay per week. Quizzes that no one could pass since she grades so tough! Your essay will never be good enough for her even if you follow all the directions. I HATE THIS CLASS SO MUCH! It is the only class I'm stressing in. Save yourselves from a headache and just don't take this class. Unless you love a challenging grader and love extra work. Good luck! You'll need it!,good,hardest grader give much homework one essay per week quizz one could pass sinc grade tough essay never good enough even follow direct hate class much class stress save headach take class unless love challeng grader love extra work good luck need,1,Positive
This prof. made my semester hell. She contradicts much of what she says & is very judgmental when it comes to essays (which there are ALOT of). This is expected from a college prof. except her grammatical and spelling errors are way too frequent so I wouldn't trust her judgement. I learned a lot but had to teach myself. Passed but I don't recommend,awful,prof made semest hell contradict much say judgment come essay alot expect colleg prof except grammat spell error way frequent trust judgement learn lot teach pass recommend,1,Positive
"In my opinion, she is a difficult professor. Too much reading, essays ever week and its just too much work. Dont recommend her. You need to try really hard to get a good grade, surprisingly i got a good grade.",average,opinion difficult professor much read essay ever week much work dont recommend need tri realli hard get good grade surprisingli got good grade,1,Positive
"AVOID CLASS, If it is too late for you  just know that there is a lot of work but the class is very insightful do all your work attend every class and you will pass with a breeze do not slack off, professor does seem unapproachable but there is a reason to her way of teaching and behaving towards students",average,avoid class late know lot work class insight work attend everi class pass breez slack professor seem unapproach reason way teach behav toward student,1,Positive
"I learned a lot, however teacher is pretty unapproachable. I am not particularly keen on grading based on the teachers opinion, but that's how the class is. Overall, my other more important classes were definitely affected negatively as this class is ALOT of busy work. May God be with you if you have this professor.",awful,learn lot howev teacher pretti unapproach particularli keen grade base teacher opinion class overal import class definit affect neg class alot busi work may god professor,1,Positive
"I now know so much about my Chicano history because of this class!Don't take this class if CH doesn't interest you. The analytical readings are kind of difficult and you can't bs the weekly 2pg essay.She is very intelligent, kind of intimidating but fair. Must attend class!Take alot of notes during lectures, they save you for the midterm and final!",good,know much chicano histori class take class ch interest analyt read kind difficult bs weekli pg essay intellig kind intimid fair must attend class take alot note lectur save midterm final,1,Positive
"DO NOT TAKE. Besides the fact that she treats you as a child or at least a High School student, she is very strict and rude. Horrible semester because of this professor.",average,take besid fact treat child least high school student strict rude horribl semest professor,1,Positive
DO NOT TAKE!!!! I HATE THIS CLASS!! like the week class is suppose to end she added an extra quiz and an extra essay!!! WTF??? are you serious lady!!!!! get a life!!!! My first C of my college career thanks to her!,awful,take hate class like week class suppos end ad extra quiz extra essay wtf seriou ladi get life first c colleg career thank,1,Positive
"WAAAAY too much work for a GE class. Please avoid this professor AT ALL costs. It took over my life and caused so much unecessary stress, I wish I chose a different history class! We have two historical sites to visits, 10 page final, 400-500 essay every week that we only get 5 days to work on, three ridiculous quizzes, 2 journals...HATED all of it",awful,waaaay much work ge class pleas avoid professor cost took life caus much unecessari stress wish chose differ histori class two histor site visit page final essay everi week get day work three ridicul quizz journal hate,1,Positive
"I do not recommend for anyone to take this course unless they have a lot of time in their hands. The reason why I say this is because there is A LOT of work. I am talking about 3 essays, 2 journals, 1 10 page research paper and each week she makes you read A LOT in order to complete a 400-500 analysis on what you read. DO NOT TAKE THIS COURSE.",average,recommend anyon take cours unless lot time hand reason say lot work talk essay journal page research paper week make read lot order complet analysi read take cours,1,Positive
I would not recommend this professor. I really hope you listen to this advice. It is too much work she thinks this is our only class we have and the quizzes are really hard and I am an A student so I know what I am talking about. Please I am warning you now do not take her. you will regret it.,awful,would recommend professor realli hope listen advic much work think class quizz realli hard student know talk pleas warn take regret,1,Positive
"She's clearly intelligent. She really expects her students to analyze critically and understand the material. We were required to do heavy readings and write a analytical 2page paper every week. Nearly 50% of the reading wasn't of my interest. She's not a professor for students to slack off, she makes you work but then again there are worser profs.",good,clearli intellig realli expect student analyz critic understand materi requir heavi read write analyt page paper everi week nearli read interest professor student slack make work worser prof,1,Positive
Please with all my heart i beg you not to take her. It is not a challenge its just so much work and so little time and she swears her class is our world. I don't think you should take her unless you are a CHS major..even then enter if you dare!,awful,pleas heart beg take challeng much work littl time swear class world think take unless ch major even enter dare,1,Positive
"She assigns a 400-500 typed essay on friday, due wednesday at noon...WTH? Def not enough time to finish! With all the other 300 and 400 level classes we students have, how do i finish in only 4 days!  Not to mention partime job! Totally regret taking this class",average,assign type essay friday due wednesday noon wth def enough time finish level class student finish day mention partim job total regret take class,1,Positive
"She is a hard teacher, he class requires more reading than the bible, journals are due every week, she is not understanding and not an easy grader.  Do Not take this class unless you want to get a P.H.D. in Chicano studies",good,hard teacher class requir read bibl journal due everi week understand easi grader take class unless want get p h chicano studi,1,Positive
"Do not take her.... took this class for an online course...regret it, and now i do not want to take any online courses because of her. Theres alot of work, yes but its easy. Reason why i regret it is because when you ask a question she responds with a smart answer..making you feel dumb.. DO NOT TAKE HER",awful,take took class onlin cours regret want take onlin cours there alot work ye easi reason regret ask question respond smart answer make feel dumb take,1,Positive
"Fantastic teacher!!! She really wants her students to succeed. I am happy I took this course with her. I got a B+ and that was my fault for procrastinating in the end. She is tough, but very fair. She always has her office door open and will help you with anything you don't understand or want to discuss. You wonâ??t regret taking her course.",awesome,fantast teacher realli want student succeed happi took cours got b fault procrastin end tough fair alway offic door open help anyth understand want discuss regret take cours,1,Positive
"Fantastic teacher!!! She really wants her students to succeed, I always loved attending her class. I am happy I took this course with her. I got a B+ and that was my fault for procrastinating. She is tough, but very fair. She always has her office door open and will help you with anything you don't understand. You wonâ??t regret taking her course.",awesome,fantast teacher realli want student succeed alway love attend class happi took cours got b fault procrastin tough fair alway offic door open help anyth understand regret take cours,1,Positive
"Took the online course and for a 200 level class, there is A LOT of work. My major is unrelated to CHS and found that I had to spend a great deal of extra time for this course and it took time away from my major courses. The course isn't hard, but it certainly requires a lot of attention and dedication.",good,took onlin cours level class lot work major unrel ch found spend great deal extra time cours took time away major cours cours hard certainli requir lot attent dedic,1,Positive
She really is not as bad as everyone says. Yes it's annoying you have to write an essay analyzing articles every week but you can prettt much bs them! I got an A...she's not that bad! And you learn a lot,average,realli bad everyon say ye annoy write essay analyz articl everi week prettt much bs got bad learn lot,1,Positive
Shes really a good prof to have & looking back I learned ALOT due to all the reading & writing we had each week so not an easy A!The person who said&quot;her class is only hard if you make it hard on yourself&quot;I agree with 100%!Shes really cool with you if you do all the work and that she sees your actually trying.Got an A but really busted my ass 4 it!,awesome,she realli good prof look back learn alot due read write week easi person said quot class hard make hard quot agre she realli cool work see actual tri got realli bust ass,1,Positive
"I am currently in her online class and she is definitely is going to make you work hard.  Plan to dedicate at least 3-4 hours a week on this class.  The material is not hard, but you have to do the work.  4 quizes, 4 critical essays, and 10 pg historical project.  I really like her, but man does she like to read!",awesome,current onlin class definit go make work hard plan dedic least hour week class materi hard work quiz critic essay pg histor project realli like man like read,1,Positive
"Demanding teacher, however if you do all the readings (I always struggled), go to class, and do well on the quizzes and the cultural assignment you will do well. I got an A and I'm not Latina. She did get upset with a few students, but I always did as she expected and I did well. She's a pretty cool/tough chick and she knows her material, pay attn",good,demand teacher howev read alway struggl go class well quizz cultur assign well got latina get upset student alway expect well pretti cool tough chick know materi pay attn,1,Positive
Best Professor ever!!! She's such a strong Chicana! Her class is hard but its worth it. AWESOME:D,average,best professor ever strong chicana class hard worth awesom,1,Positive
DON'T TAKE HER!!! she only likes it her way and isn't here for the interest of the students! she doesn't help you with your questions on assignments. I always do my assignments but i regret taking her.,poor,take like way interest student help question assign alway assign regret take,1,Positive
"Class is boring, can't ask her a question unless you want to feel stupid. I was the one of the 4 Asians in the class, therefore I had lots of questions but I ended up asking it during her hours. Final project, presentation about your family life. Power point; 4-5 slides, MUST cover everything in 10 minutes. Students & prof will rate you.",good,class bore ask question unless want feel stupid one asian class therefor lot question end ask hour final project present famili life power point slide must cover everyth minut student prof rate,0,Negative
"First Off, do not take her!! She teaches her basic level classes like her upper division courses. she does not help and if you ask a question she makes you feel like you are a foolish child. This is one of the few professors that i will never forget and for all the wrong reasons. She lets her politics and emotions for the subject dictate the class.",poor,first take teach basic level class like upper divis cours help ask question make feel like foolish child one professor never forget wrong reason let polit emot subject dictat class,1,Positive
"one word: unapproachable. The course requirements were clearly laid out the first day -no surprises. You must make the commitment to actually read ALL the material and prepare for in class quizzes otherwise, you WILL fail. Expect to read about 20+ pages a week (which is little compared to Upper Division Eng. courses). If you're a good writer and cr",poor,one word unapproach cours requir clearli laid first day surpris must make commit actual read materi prepar class quizz otherwis fail expect read page week littl compar upper divis eng cours good writer cr,1,Positive
"Professor uses Course Reader. Did weekly readings and had to turn in a one-two page summary of what we read. Grade is based on two midterms, a final, and a cultural presentation. Lectures were quite lengthy. Group discussions were based on the course reader.",poor,professor use cours reader weekli read turn one two page summari read grade base two midterm final cultur present lectur quit lengthi group discuss base cours reader,1,Positive
absolutely the best professor for CHS or any class really. She is a great person as well as professor. For those who rated her harshly on the online class it's because she had never given an online class before! STILL AMAZING PROFESSOR! CLEAR AND INTELLIGENT DO TAKE HER CLASS!!!!!!!!!!!!,awesome,absolut best professor ch class realli great person well professor rate harshli onlin class never given onlin class still amaz professor clear intellig take class,1,Positive
"Do not take this professor, there is something really wrong with her. I took her for an online class, I had to do 4 major essays, 4 really unclear exams, a 10 page research assignment that requires a visit to her assigned museums, discussion posts every week, 4-5 articles and 2-3 chapters of reading.",poor,take professor someth realli wrong took onlin class major essay realli unclear exam page research assign requir visit assign museum discuss post everi week articl chapter read,1,Positive
Honestly the worst teacher I have had at CSUN. She is ridiculous and she can't even use proper grammar. She is so unhelpful when asked about ANYTHING. I definitely feel like I would have learned more and been less resentful about the subject matter if I had read the book alone without her idiotic and unintelligent lectures. DO NOT TAKE!,awful,honestli worst teacher csun ridicul even use proper grammar unhelp ask anyth definit feel like would learn less resent subject matter read book alon without idiot unintellig lectur take,1,Positive
HARD!,awesome,hard,1,Positive
"I hate this teacher. Seriously, her expectations are unrealistic she gives way too many pages to read in one night. She can't answer simple questions. In my opinion she is a very angry person inside and takes it out on her students. She makes me want to cry everyday and quit school, never have I been so uninspired to quit school. She's terrible.",poor,hate teacher serious expect unrealist give way mani page read one night answer simpl question opinion angri person insid take student make want cri everyday quit school never uninspir quit school terribl,0,Negative
This teacher demands that you devote 3-5 hours a day only to her work.  She has unreal expectations in what she expects you to read daily and provides no feedback as to why your grade is the way it is.  DO NOT TAKE THIS WOMAN unless you have large amounts of free time and are willing to devote it completely to this class. STAY AWAY!!!!!!!!!!,awful,teacher demand devot hour day work unreal expect expect read daili provid feedback grade way take woman unless larg amount free time will devot complet class stay away,1,Positive
Really an amazing teacher. She might seem a little bit strict but her teaching methods are very good and her personality brings the class to life.,awesome,realli amaz teacher might seem littl bit strict teach method good person bring class life,1,Positive
She is a very smart teacher and does not allow anyone to slack off. You use a reader instead of a book that costs about $40 outside of school in some store. She's a devout feminist and its very interesting to hear her lectures. But she's funny at times and always speaks with a smile on. She welcomes questions but it is at times intimidating.Ok prof,good,smart teacher allow anyon slack use reader instead book cost outsid school store devout feminist interest hear lectur funni time alway speak smile welcom question time intimid ok prof,1,Positive
By the end of the semester she earned all my respect. She is dope!! She definitely knows her stuff and if you're smart you will pick up on that knowledge. Those who say she is hard must be really stupid and I know this because I had many of you idiots in my class. She is clear about her expectations and standards.,awesome,end semest earn respect dope definit know stuff smart pick knowledg say hard must realli stupid know mani idiot class clear expect standard,1,Positive
NICE TEACHER,average,nice teacher,1,Positive
"All of those who wrote thing about her some of it is true. She is hard, but personally I think that she is a good professor.Her course is hard but only if you make it hard for yourself. She is not your friend she is your professor. Attend class, read, and study!! If you have questions ASK HER!!!! she is willing to help, if you are willing to learn",good,wrote thing true hard person think good professor cours hard make hard friend professor attend class read studi question ask will help will learn,1,Positive
she knows what shes talking about! so dont try and challenge her. GO TO CLASS! you get attendance points and although she may not stress it at first in the end you will be screwed! her mid term is take home and the final is alright (both essays). although she is very picky about essays they need to be PERFECT!,average,know she talk dont tri challeng go class get attend point although may stress first end screw mid term take home final alright essay although picki essay need perfect,1,Positive
"Yeah...I took the online classes, and though i learned a great deal from this class... the tests are SPECIFICALLY designed to hurt your grade. Don't take unless you love a challenge. I am not gonna lie however, i learned ALOT from this class.",good,yeah took onlin class though learn great deal class test specif design hurt grade take unless love challeng gonna lie howev learn alot class,1,Positive
DO NOT TAKE!!! She is a very knowledgeable professor but her attitude is terrible. I?ve never had such a rude prof in my 4 years of college. One think for sure is that she enjoys be littling her students. The environment in her class feels very tense and her students are afarid to ask any Q. She needs an attitude adjustment thats for sure. She's a ,average,take knowledg professor attitud terribl never rude prof year colleg one think sure enjoy littl student environ class feel tens student afarid ask q need attitud adjust that sure,0,Negative
"Her online class is terrible. She is not clear, the tests are specifically set up to hurt your grade, and she is not thorough in her explanations. For example, she makes typos and she doesn't post quizzes on the correct time she says she will. Not reliable, not learning, and unfun. DO NOT TAKE ONLINE. In person would've been much better",poor,onlin class terribl clear test specif set hurt grade thorough explan exampl make typo post quizz correct time say reliabl learn unfun take onlin person would much better,0,Negative
"Professor singles out students...NOT willing to help at all...most of her class is scared of her! Most students are scared to even ask questions. Got an A from doing all the work but am still traumatized by how she belittles her students. TERRIBLE experience in this class, would NOT recommend it at all",average,professor singl student will help class scare student scare even ask question got work still traumat belittl student terribl experi class would recommend,0,Negative
"This class is really easy Show up for class take, good notes during lectures & do the study guide. I NEVER read the book all I did was the study guide & I got an A on the tests. The research paper is really simple to do don't let the # of pages scare you because trust me you can fill up the 15 pages really fast.",average,class realli easi show class take good note lectur studi guid never read book studi guid got test research paper realli simpl let page scare trust fill page realli fast,1,Positive
You gota work for an A. No smooth sailing here. BUT that being said test are extremly easy becuase she gives us every question on the test on the reveiws a week prior! Long but easy 14page paper due. She is an expert in her feild and is very passionate. Good proffesro but be ready to read and write!,awesome,gota work smooth sail said test extremli easi becuas give us everi question test reveiw week prior long easi page paper due expert feild passion good proffesro readi read write,1,Positive
"I really liked her, but some people did not. I must admit, I was on her good side, so she liked me, but if you get on her bad side, forget it, she will tease you in class! Just show up on time, make sure you do the readings, and answer questions. A LOT of reading and a hard paper, but not too bad. Tests can be hard. I got an A, but I worked for it.",good,realli like peopl must admit good side like get bad side forget teas class show time make sure read answer question lot read hard paper bad test hard got work,1,Positive
"This teacher does not play around. She is pationate about what she is teaching. I have to admit she is really hard, but you learn a lot in her class. She goes over all the reading!!! She gives four test and they consist of short answers and short paragraphs. I recomend you start on your reserch project day one to avoid the stressing out.",awesome,teacher play around pation teach admit realli hard learn lot class goe read give four test consist short answer short paragraph recomend start reserch project day one avoid stress,1,Positive
I have never been so disgusted to have a Professor who completely disregards the fact that she is dealing with adults.  Regardless of the fact some students are there fresh from High School doesn?t mean she has free reign to belittle students intelligence. I hope she learns social skills to go along with her vast knowledge!  Then maybe she may be a,poor,never disgust professor complet disregard fact deal adult regardless fact student fresh high school mean free reign belittl student intellig hope learn social skill go along vast knowledg mayb may,1,Positive
"This professor is extremely hard. She is rude, inconsiderate, condescending, disrespectful and treats her students as if they are five years old. There are four finals in the class-one every few weeks. This teacher needs to go and teach high school.",awful,professor extrem hard rude inconsider condescend disrespect treat student five year old four final class one everi week teacher need go teach high school,1,Positive
"This class is not for lazy students. There is a lot of work and reading, but its really easy once you do it. She gives 4 quizes which are short answers/short paragraphs and that's really easy since she gives a study guide with the same exact questions on the test. Keep up with the readings and make sure you start the site project early!!",good,class lazi student lot work read realli easi give quiz short answer short paragraph realli easi sinc give studi guid exact question test keep read make sure start site project earli,1,Positive
She's very intelligent and has a good grasp on the subject and makes class interesting.  I definitely would have to say she's a great professor thus far.  She's also very cute and has beautiful eyes.  For you recent highschoolers: Make sure you remember this is college and treat this class as such...  I don't think she tolerates kiddish behavior.AN,awesome,intellig good grasp subject make class interest definit would say great professor thu far also cute beauti eye recent highschool make sure rememb colleg treat class think toler kiddish behavior,1,Positive
"Class is easy if you keep up with class readings. You'll be given the exam questions which are exactly the same in the test, short answers/paragraphs. Sometimes there are some bonus questions. The hard part is the site visiting project which requires a lot of time. If you wanna get an A, take this class.",awesome,class easi keep class read given exam question exactli test short answer paragraph sometim bonu question hard part site visit project requir lot time wanna get take class,1,Positive
"Prof. Sandoval is a good professor who is willing to help out students. The class may be a bit difficult for being lower division, but the work load is very manageable for students who are serious about college. She offers extra credit opportunitied as well, which helps a lot.",good,prof sandov good professor will help student class may bit difficult lower divis work load manag student seriou colleg offer extra credit opportun well help lot,1,Positive
hello SHE IS SO HARD FOR CSUN. YES we are in college. NO TAKE,awful,hello hard csun ye colleg take,1,Positive
"Okay so she does flip her hair every 5 seconds but so what, who cares. I honestly thought she was a great professor & i learned so much from her. All these people below me probably didnt like her cause they got a bad grade in her class cause she isnt easy, but hello we are in college! Take her if your actually going to pay attention & want to learn",good,okay flip hair everi second care honestli thought great professor learn much peopl probabl didnt like caus got bad grade class caus isnt easi hello colleg take actual go pay attent want learn,1,Positive
"It feels sad to see all of these negative comments, but a lot of them are very true. She makes me want to reach out to her because she is so hardened and somewhere deep in her is a heart, but we can't see it.  I wish that she could feel human warmth and love. She will. Be tolerant and understand that she's in a process like all of us are. Be nice.",average,feel sad see neg comment lot true make want reach harden somewher deep heart see wish could feel human warmth love toler understand process like us nice,1,Positive
She clearly has insecurity issues and takes it out on other women in her class she thinks are her competition.  Having a PHD for her is seriously only a professional HATER DEGREE.  So much for her XICANA solidarity.  I guess she needs a man!,average,clearli insecur issu take women class think competit phd serious profession hater degre much xicana solidar guess need man,1,Positive
"This professor is a great professor she tells you what she is looking for in the 6 papers you wil have to write.  The is a small quiz at the begining of each class on the reading.  So reading is madatory!! No final but you will have a big project.  DO NOT TAKE THIS CLASS IF YOUR LAZY, DONT LIKE TO WORK OR READ, OR IF YOUR LOOKING FOR AN EASY A.",awesome,professor great professor tell look paper wil write small quiz begin class read read madatori final big project take class lazi dont like work read look easi,1,Positive
IF YOU KEEP UP WITH THE DAILY READING THE CLASS IS A SINCH.,awesome,keep daili read class sinch,1,Positive
MY WHOLE LIFE IVE HATED HISTORY AND FOR THE 1ST TIME I LOVED A HIST CLASS..There are only 4 quizzes and they r exactly like the study guide..She really knows her stuff..she assigns a hist project..do it on time because its pretty long...GREAT CLASS!! she can be rude sometimes but she likes teaching!,good,whole life ive hate histori st time love hist class quizz r exactli like studi guid realli know stuff assign hist project time pretti long great class rude sometim like teach,1,Positive
"sandoval is a great prof. alot or work & alot of reading BUT i gurantee, u will learn!! i enjoyed her class, she always had interesting lectures and she is a very brilliant woman.she has a passion for teaching!",good,sandov great prof alot work alot read gurante u learn enjoy class alway interest lectur brilliant woman passion teach,1,Positive
"Honestly, eventhough she can be a b*tch sometimes, the class is pretty easy. She gives study guides that are exactly like her quizes. The material is a little repetative and boring. U learn some interesting stuff. Just do the work, dont get on her bad side, and u will be fine. Oh, and she always says &quot;RIGHT&quot;.",good,honestli eventhough b tch sometim class pretti easi give studi guid exactli like quiz materi littl repet bore u learn interest stuff work dont get bad side u fine oh alway say quot right quot,1,Positive
"Great teacher that teaches with much passion for the subject.  She will make you learn, think, and will motivate to do your best.  There is alot of readings and papers, but no final or midterms, which is a great bonus.. I learned sooooooooooo much and the class was worth it all.",awesome,great teacher teach much passion subject make learn think motiv best alot read paper final midterm great bonu learn sooooooooooo much class worth,1,Positive
"Sandoval can be mean to people at times and she calls people out when they did not do anything wrong. The material presented is excellent yet repetitive. The reading is a lot for this class and the quizzes are easy. The four critical essays are easy, but the historical project is hard and unnecessary (especially the Museum of American West part).",good,sandov mean peopl time call peopl anyth wrong materi present excel yet repetit read lot class quizz easi four critic essay easi histor project hard unnecessari especi museum american west part,1,Positive
"Yes, there is ALOT of reading and quite a few papers. Final paper was 11-15 pages of research. I will admit, it's not pleasant to take her, but she does know her stuff. She's also not very approachable. She grades adequately. If you don't like to write, don't take her; although I hate writing and I still got an A!",good,ye alot read quit paper final paper page research admit pleasant take know stuff also approach grade adequ like write take although hate write still got,1,Positive
I took her in my sophmore year and I am not a pro at writing. 3 books and one essay for each 1 group project that I hated because she made it seem like a lot of your grade and it was only like 5% and the final is essay making your own theory. Class was intense but I proved to her that I can get an A in the class. &quot;RIGHT&quot;,awesome,took sophmor year pro write book one essay group project hate made seem like lot grade like final essay make theori class intens prove get class quot right quot,1,Positive
"She isn't that bad. She gives quizes every thursday, but she lets u know exactly what to read for the quiz. No final, just a project/paper: you have to visit a few museums and write a paper. She also gives a few essays (about four) based on the readings. Easy grader.",average,bad give quiz everi thursday let u know exactli read quiz final project paper visit museum write paper also give essay four base read easi grader,1,Positive
She is so RUDE and unhelpful. Every other word she says is &quot;right&quot; and she thinks she is so good because she got her P.H.D.  She does not like female students but pays a lot of attention to the guys. The work is pretty easy but there is a lot of reading and she WILL make you look stupid if you don't know the answer. I would not take her again.,poor,rude unhelp everi word say quot right quot think good got p h like femal student pay lot attent guy work pretti easi lot read make look stupid know answer would take,1,Positive
She is very difficult.  Too much writing and too much attitude with it.  Very much into herself and not helpful. Make sure you do the readings if not she will point it out to the whole class.,poor,difficult much write much attitud much help make sure read point whole class,1,Positive
grip of reading annoying assignments,average,grip read annoy assign,1,Positive
"she has major attitude problems. she still thinks like a kid.She flips her hair all day,says right a hundred times an hour and gives dirty looks. the class itself is easy A, but only if you can put up with her rudeness and treating adults like children. if u need an easy A go for it but the class is pointless.",average,major attitud problem still think like kid flip hair day say right hundr time hour give dirti look class easi put rude treat adult like children u need easi go class pointless,1,Positive
Easy class,awesome,easi class,1,Positive
"Yeah, there is some work to do in this class, but not something out if this world. She grades fairly and is willing to help. She is definitely easier that other CHS professors.",good,yeah work class someth world grade fairli will help definit easier ch professor,1,Positive
She has major attitude problem and tried to make me feel stupid when asking questions. She favored her student with a chicano backround and treated the rest of us like seconed rate students.  If it were not for her bias grading I would have received a 4.0 but thanks to her B I did not.  I was one step short of complaining to the department head.,awful,major attitud problem tri make feel stupid ask question favor student chicano backround treat rest us like secon rate student bia grade would receiv thank b one step short complain depart head,1,Positive
No Comments,good,comment,1,Positive
"a lot of reading, but not hard",good,lot read hard,1,Positive
strict but in a easy way. If you get on her bad side she can be a meanie but she what students need to prosper.,good,strict easi way get bad side meani student need prosper,1,Positive
"This class could have been a good class but she has a horrible attitude problem. She is mean and demeaning to students. When you answer questions she looks at u like ur stupid. Every other word out of her mouth is &quot;RIGHT&#63;&quot;, UGH!!!Don't take her!!",poor,class could good class horribl attitud problem mean demean student answer question look u like ur stupid everi word mouth quot right quot ugh take,1,Positive
"Don't take this and expect an easy A. But if you're interested and work hard you will done fine. Don't cross her, she means business.",awesome,take expect easi interest work hard done fine cross mean busi,1,Positive
"she does have an attitude, but i managed to get B in the class and i didnt read all the material. I also didnt do the oral presentation. The class is easy just try not to miss any lectures, turn in all the journals, and kinda a avoid her cuz shes ****y( she doesnt like to explain her self twice)",poor,attitud manag get b class didnt read materi also didnt oral present class easi tri miss lectur turn journal kinda avoid cuz she doesnt like explain self twice,1,Positive
"Really easy grader but a lot of reading. Horrible attitude, which creates an uncomfortable classroom environment.  Do all the reading, write all the journals, do a  5 minute culture presentation, and put up with her annoying attitude and get an A in the class.",poor,realli easi grader lot read horribl attitud creat uncomfort classroom environ read write journal minut cultur present put annoy attitud get class,1,Positive
"GET RID OF HER!!!!!! SHE IS DISGRACE TO THE CHICANO STUDIES DEPARTMENT!!! That is why she was let go at ELAC, she sucks",awful,get rid disgrac chicano studi depart let go elac suck,1,Positive
"Ok, for a 400 level class; this class is not that bad.  For just a GE grade (like me) it is super hard.  I had to work my ass off for my A-.  The class is passable but don´t expect to miss any classes or do little reading.  There are no tests in the class, but the excessive work and reading make up.",awesome,ok level class class bad ge grade like super hard work ass class passabl expect miss class littl read test class excess work read make,1,Positive
OMG this lady stresses you alot I got an A but I worked my ass off! not an easy class and not a very likeable professor either...,good,omg ladi stress alot got work ass easi class likeabl professor either,1,Positive
